driver,text,grand_prix,conference_type,team
Lewis Hamilton,"Hi, everyone. It’s good to see everybody. Well, a huge amount of work has gone on in the past three days. I’m very proud of my team for just keeping their heads down, staying focused, churning through the crazy amounts of data that there is, every time we're basically out in the car, and just trying to understand what are the issues we have. We were aware of the problems we have, but in terms of what's causing it, we're just working through trying to figure that out and how we can rectify it without losing performance and ultimately gaining performance. But three days doesn't… there is such a short time between races there's not a huge difference here this weekend. But hopefully, we'll have some things to try. And from a driver's perspective that that's exciting when you go to come to today when we get in the car for example, just trying something new and hoping that it unlocks a bit of performance. But those are the others are still very strong. And as I said last week, it was great to see Ferrari back up there after a couple of difficult years. It is different, so yeah, it shouldn't be as bumpy as Bahrain obviously. Bahrain is a much older circuit, it’s got more character to it, because it is as old as it is. This track is super fast and but a different surface will behave with the tyres differently. These long, long straights where we might not be too fun with the bouncing if we still have it. But yeah, everyone's… well, those that have the bouncing are in the same boat. And hopefully, we'll try and fix some of it. Yeah, I pretty much am nocturnal, yeah. I don't think so. I think we probably all do the same. You don't really notice a huge difference from day to night, it's just temperature and track surface difference is probably the only thing. The night races are awesome. And naturally, when the track cools, it makes it a little bit easier for us to do what we do in terms of making these tyres, that struggle to last on the hotter surfaces, last. Hotter tracks are difficult. But no, not really. I think I’ve just probably been fortunate that we've hit the sweet spot on most of the night races. Yes, I did see it. And I was really fortunate actually just during the process to be speaking to Serena and Venus about the whole process and how excited they were about the documentary. And of course, I know Will [Smith], so really proud of what he was able to project with this film. I know he's had awards and stuff, but I was really moved by the story, I think ultimately, because I think we all of us have watched both of them rise and see their success and trials and tribulations. But like all of us [we] very much don't always understand what it's taken to get there. People that tune in probably just think that they're just the best and [they are] not understanding the commitment and the time and sacrifice that they have to put in. And so it's amazing that Will was able to highlight that. Behind everyone that's successful there is always somebody and I can relate to it because I have a very amazing family who, without them, I would not be here today. And I hope at some stage, I'll be able to do something similar, to be able to… I think it's inspiring for families out there who… I'm sure anyone in here that has kids wants the best for their kids and wants to create the best opportunity and push them in the right way, but not too much. And I think that was a great showing of how you can do that. Yeah, It is. I don't know if everyone here has the bouncing. But it's something that when I've sat down and spoken to the aerodynamicists and engineers that we've not faced before. So it's new for everyone. I think it's exciting when there's something new, but when it continues and continues and you can't figure out how to fix it of course, that's not always the best. But we will get to the bottom of it. And I think some people been able to fix the bouncing that they have. Of course, we have this downforce and we have these bumpy circuits, so there has always has been a form of bouncing, but nowhere near to this kind of level. So we're just trying to learn as fast as we can in the short space of time that we have between races. I don't know what to say, really. My position is still the same as I spoke on last year. There's not really a lot that I can say that's going to make any difference. It's obviously mind-blowing to hear the stories. I've heard that there's a letter been sent to me, for example, from a 14-year-old who is on death row. When you're 14, you don't know what the hell you're doing in life. But we don't decide where we go. And, as Daniel says, I think we do have an opportunity to try… I think we're duty bound to try and do what we can while we're here… It's not necessarily our responsibility, us up here that are brought here, but we try and do what we can. And I think it's important that we just try to educate ourselves. And with the little bit of difference that we can try to make, make sure we are doing something. But ultimately it's the responsibility those of those that are in power to really make the changes. And we're not really seeing enough. So we need to see more. Well, I didn't feel downbeat. I was being realistic that we have issues and we’re fighting to fix them. I think there's a lot of potential in our car and we're just trying to work as hard as we can to rectify them as quick as possible. And we've seen the amazing performance of some of the other teams, how close it is between all of us. And so I am hopeful that week on week we will improve. I have no doubt that I've got the best group of people behind me in order to come up with solutions and fix it and extract performance. So I don't currently feel too stressed. But I want to get in the fight as soon as possible. But the last race was an amazing feeling for us. Given where we thought we were going to be, to come out with the result we did. But we can't rely every weekend on that to happen. So we need to move forward as fast as we can. I think again, just reflecting on that, it shouldn't be our responsibility to have to do that. But it is obviously a very, very complex situation. But I'm always open to having a discussion, to learning more, to try to understand exactly why the things that are happening are happening and why they're not changing at all. Because, look, it's 2022 and it's easy to make changes. So, but I'm open to doing that. I don't know who I'd have to speak to exactly. But I'd love to see that. I know that Boris has been over here recently. I heard that human rights were raised during that, but what was said, what’s being done, I’ve heard about that? I didn't know that. That's pretty amazing. I'm grateful for Mercedes’ loyalty to me over the over the years, you know, but I've been with Mercedes since I was 13. So, it’s a long stretch together and I'm very much embedded in the family. And I'm grateful to be a part of that history ansd continuing to work on adding to that in the future. I've not been given exact numbers, but I know they're large. But I think it's the same for everyone. You know, those that have had to raise their car, it's much steeper steps that we've seen compared to previous years. And there's lots of performance when you can reduce some of those steps, obviously, lowering the car, for example. The cars that were ahead of us, for example, have an incredible amount of low-speed downforce. So I don't know what the exact number is, but I know it's, it's nothing. It's not small. I have no idea who would who would have played me. But as I mentioned the last time I was here, we have this documentary that we're working on and I think you have to just do everything at the right time. The documentary is the current focus. I think stories are there to be told. I think it's important. I think there's lots that can be learned. And as I mentioned, for people, if you can affect and have a positive impact, if your story can have one positive impact even on one person or one family that's could be amazing. So I think, yeah, one day I perhaps will try to do the same maybe. Very inspired by how Will did it with his team. And with those two icons, pretty proud of them. So yeah, maybe one day. I don't know. I have no idea who I get to play me. I don't know who's out there that that are that I would use at the moment. I'd have to do some research. But I'm actually going through a process right now of castings for another project that I have. And that's quite an interesting process to go through. So it's quite exciting, reading up on all these different characters, people that could fit a role that the script… you know, when the script’s written, and they’re writing that character, finding someone that matches that and  represents that character is quite an interesting process.",Saudi Arabia,friday,Mercedes
Zhou Guanyu,"Yeah, it was very good and I was more like very satisfied with the result, just because there's a huge relief from the pressures I was having since last year, as I mentioned before in few interviews. But yeah, overall, I think with the debut, our first weekend, I was able to have no mistakes inside the cockpit, which was very good, and then that was able to give me that confidence try to improve session by session. And of course there's plenty of stuff for me to be still looking at and to improve from myself, but nevertheless, I think especially for the race it was a very good comeback after a difficult start of the opening lap. And then, yeah, I think the team did a very good job to, you know, make a big step of improvements in the car compared to where we were the year before, so that really gives us the boost to be keep working and yeah, it's still a long season to go but it was a very good starting point and then all the team are very happy with you know, we was able to give them the reward or this hard work during the winter so that was very nice. It definitely gave me confidence or more like a belief with the car, how much I was able to push, probably more into the limit of the car, but nevertheless I think that was what was missing in qualifying because I think both cars had maybe the ability to be going into Q3 but to be already in Q2 I think was a good first step. But here Saudi is a complete different layout of the circuit, a lot of high speed, a lot of straights and we have to probably be more realistic [about] where we are compared to the others because it could be you know, In Bahrain we were good, could be here we are even better or we struggle more, so we have to find out. But nevertheless it was nice to be able to trust the car more, since day one in Barcelona to Bahrain qualifying I have much more built up the confidence with the car. Well, for us, how we started at the very beginning, first day, put the new car on track compared to now is of course a big improvement. I think it’s the same for the other teams out there. But nevertheless, I think we normally suffer more when the DRS is not open on the straights when the bouncing to be a bit more unnatural for me. But in a way I'm quite used to it because when I drove F2 we normally were suffering very harsh, stiff, bouncing or with the kerb riding. So I'm used to that. But definitely having bouncing [at] high speed is not something nice to have. But I think we can have probably if going to Monaco, tracks like that, bit more bumpy on the straight, maybe we can suffer more because the visibility already is quite low with the new car compared to last year. And then that is definitely not helping. But it's only the very beginning of this development of the new car. So I'm sure everybody can or maybe will find a way of figuring it out.",Saudi Arabia,friday,Alfa Romeo
Kevin Magnussen,"It's certainly one of the more enjoyable ones, you know, because of the element of surprise also, getting back into Formula 1, and not expecting that, and then going and having such a weekend was just so surprising. And I guess, something that rates very high in the results, although P5 isn't the best result I've had, it was very surprising and satisfying. I don't know. I mean, it's not like I felt very rusty. I'm not expecting to get a huge amount better. But everyone is still, I guess, learning about the cars, and there's going to be a race to kind of get fully on top of these cars. But no, I don't feel like there's going to be massive improvements for me. I felt very good in Bahrain and I felt on top of it. Just going to get physically better. I was sore in my neck the day after the race. But it didn't really hold me back. So I'm quite happy.",Saudi Arabia,friday,Haas
Daniel Ricciardo,"I feel OK. Thank you. It was a little a little more physical than it probably should have been. Yeah, it was like that. But yeah, I would say like, each day is kind of just gets better and better. So, I feel OK. Thank you for asking. I mean, there has to be, you know. That's what we work towards. And we'll keep working towards it until we get to see the light, if you will. I think it's going to be a bit of a process now. It's not an overnight change. It's not a change that can happen in the space of a week, you know, so maybe here at this circuit maybe it plays more to our car, and we do a little better, but I think we have some kind of bigger changes to address to get us in a, let's say, top five position. But that's what we have to work harder now than ever for to get there. So at some point, we'll get there. Yeah, we're aware of some of the situations when we come here, we're informed. But I think by coming here, we also have a chance to create some change or have some positive influence. As opposed to not coming here. I know F1’s doing a lot. 40% of staff are females here this weekend, 600 I think underprivileged kids, orphans and underprivileged kids are here today at the track to be educated be inspired. Is at McLaren, we're working with KAUST, which is the first co-ed university here in Saudi Arabia. So, inspiring, trying to create some opportunities. So I think there is, let's say, a positive impact we can have when coming here. We're still trying to do more and do our best to create that or influence that in a better way. And, of course we're aware of some of the other issues, but we're trying to create a good change or have a good impact from us being here.And for now, that's all we can do. I think. Yeah, I guess I'm not too sure how to answer it. Again, if we could have positive impact or learn or educate. I mean, even from being here last year until now, it's only a few months, but I feel I've tried to at least understand a bit more and learn a bit more about it. So if speaking to, let's say, a group of people could help them. Why not? But I think for now the best thing is to remain open-minded and to see that we're aware there is room for change here. And if participating in certain things helps, then I think we're very open to do so. I can answer quickly from my side. I'll jump in. We haven't had too much of it. Yeah, that's probably as far as my answer goes. I think we've, as a team, have been suffering less with the porpoising. And, yeah, I look at some on boards of the others and I'm sure there's a few sore heads after a long race. Everything is already quite intense with a helmet on, balaclava and everything, so it’s quite easy to end a race dehydrated or with a headache. So yeah, it doesn't always look comfortable for the others but for myself it's been quite, I say myself in Lando, it's been quite chilled for now. Yeah, I'm expecting to see more beautiful beards like yours, Matt. It's getting better by the week. I think your camera as well, the quality's better, so we can really see the definition. The real girth on that beard. It's gorgeous. I'm excited to go home. Definitely. You know, it's been a while and yeah, I've heard sales have been nuts and it's going to be an awesome atmosphere. So I cannot wait. Max is cheering. He's excited to go as well. Obviously it's personal to me, because I'm Aussie, and it's a home one and that's a privilege. But every driver I speak to about Melbourne, they love it. They love it as an event. And it's exciting to go through the track changes as well this year, see what kind of racing that produces. So just a big bundle of excitement. Nearly as big as your beard.",Saudi Arabia,friday,McLaren
Nicholas Latifi,"Yeah, I think after the second round of pre-season testing, it was clear we were not going to be where we wanted to be and where we hoped to be before any of the pre-season started. In large part, we had a lot of the same limitations that we had with last year's car, and Bahrain was always one of our weakest tracks last year. So in that respect, I guess it wasn't surprising. Well, it’s not nice to say it wasn't surprising that we were where we were. So I guess coming here it's a completely different track and again, based off these feelings we had last year, it should suit us slightly better. At the same time, I'm under no illusion. I don't expect us to make a massive step up in performance. So yeah, we have a lot of work ahead of us for sure. You have to be quite patient as well, as you know, everything takes a lot of time in F1 and we just have to learn to optimise more what we have right now. As well from my side there is a bunch of things I didn't do correctly last weekend, in both tyre preparation and qualifying as well. Managing these new tyres in the race is a completely different challenge I feel compared to last year's tyres, but still just as sensitive in a way. And yeah, just make steps bit by bit.",Saudi Arabia,friday,Williams
Max Verstappen,"Well, not entirely happy, but I was still in second, which would have been, of course, a good amount of points. But unfortunately we couldn't finish the race. But still a lot of things we learned, because we more or less completed the whole race. So we had a lot of information from that. And, yeah, we'll try to implement that here. Of course, the track is a bit different, but it was a good understanding of the first proper race distance on the car. No, it didn't. I expected more, but we have our reasons for that. So that's why we'll try to do better here. I do think it was a tiny bit better. But I don't think Bahrain is the best example because of tyres overheating, and once you're following for like two laps you just start sliding too much, even if you can follow a little bit better. So, I think there will be some other tracks where the deg of the tyre is a bit lower and then for sure you will be able to follow a bit longer. But it felt like it was a bit better. And that's why I guess we had a fight for like two or three laps instead of only one. Yeah, well, we didn't encounter it in testing. So we didn't know about it at all. And I don't know how we would have spotted it. You can say, in a way, it’s unlucky, but it shouldn't happen. It's as simple as that. Because, you know, to retire basically three cars was  pretty bad. I mean, there is no way around that. And we have to do better. If we want to fight for the title you cannot have too many races like, like we had in Bahrain. I'm sure we'll talk about it with Stefano. But at the moment, I'm not really interested to take part in it. It's also just taking more time. And we're already doing so many things. And I don't really… I saw the benefit initially, of course, to get more popularity. But for me, now, I think you reach a stage where it's a bit more like keeping up with the Formula 1 world, if you know my reference… I think it shouldn't be like that. It's better just to make a season review by F1 itself. I think that's way nicer to look at. But that's my opinion, nobody needs to share my opinion. I just don't like to be a part of it. Visibility will be a bit more tricky. And the bouncing, we'll find out. I don't know my car is going to respond to here. But if you do get it, it's not going to be enjoyable with such high speeds for such a long time. I've read about the changes but I haven't walked the track or anything. So probably on my lap, I’ll just take a bit more of a good look at it. But it's going to be different. But it's the same for everyone, right? So we just have to deal with it and we know that the first sector is not… It’s really cool to drive, don't get me wrong but it is definitely, not the safest when you have to guide through traffic and stuff. But yeah, we'll see how it goes. I'm always happy to talk. I'm not against that. And you know, Stefano is a great guy and you can talk to him about anything. Well, I watched a few episodes of the last one and I was surprised as I suddenly found myself talking in it. And it's probably stuff from like, 2018 or something they picked up and used again, about fighting and what I like to do. But that already is not correct. I could hear that my voice was a bit different. And I realised also, actually, a lot of times I was saying stuff, and they were with this beam around, and they pick up a lot of stuff. So I have to be a bit more careful with that as well. It's just not my thing. And then of course, they all tried to pick, throughout the whole season, they tried to pick moments and fabricate in a way. And for me personally, what I didn't like and it's not even about me, it was about Lando and Daniel, who I think are two great guys. They're really nice, first of all, and made it look like Lando was a bit of a dick, which he isn't at all. And again, you know, I think… I know Lando and I think many people know Lando as a funny guy, a great guy. He has a great character. And actually when you look at that episode, you really think who is this guy? What the hell is going on? And I think when you're new to the sport you don't like you've never seen a racing car or a Formula 1 car in general, they don't like him. And why should that be? Because he is a great guy. And you just immediately get a wrong picture of a person. And that's exactly what I think happened to me in the beginning. And then I think I'm someone who, when you ruin it from the start, you don't fix it. That's it, you ruined it. So that's my stance. And that's how I'll go forward. Yeah, well, during testing, of course, brakes are getting hot and we were trying to make fixes and we thought it would have been just about enough for the race. But of course, when you're fighting and close to a car, they get warmer. That's why I had to lift a lot. After my battle with Charles, basically, the third lap, I had to back out because my brakes are literally on fire. So, I had to be really careful with that. It was not worth it to try and force something when you know you have no brakes. We'll try to make a fix on that, because that's costing lap-time. So, I hope of course, this weekend will be better already. And yeah, with the pitstop, something happened when we dropped the car. My steering got damaged, so it wasn't very enjoyable to drive after that. And also, I had to defend from Carlos on the restart with that. I was not really sure what was going to happen with the balance and the behaviour of the car but in the end, it didn't matter with the retirement, but also there, I think we made a fix, that wouldn't happen again. So yeah, quite a few little things we have to get on top of but the positive overall is that the car is competitive and that's the most important. These things we had, I think they’re are easier fixes than when you have a uncompetitive car. I think it was quite clear in Bahrain, what we were allowed to do and not. Of course, every track is a bit different, so you have you need to have discussions again about what you think and feel and ad work together with it. But Bahrain was straightforward. And I think that's what we all want, right? We want clear understanding of what's happening. I think we can all agree that Ferrari has the slowest car that's for sure. It’s all Carlos and Charles! Yeah, pretty similar. I think I do know what I want to go faster. It's just I don't have it yet. So yeah, I'm trying to find that balance to go faster. But with these cars, the extra weight and low speed makes it quite a tricky car to set up. But of course, it is also very track dependent. So Bahrain, you have more low speed corners, it's really hard on tyres. So let's say low speed it doesn't feel fantastic, Here, it's completely different: street circuit, so grip is different – but also a lot more high speed corners, so you are definitely chasing something else from the car. I hope it works for us but yeah, we'll find out soon.",Saudi Arabia,friday,Red Bull
Carlos Sainz,"Yeah, maybe I was a bit too negative after a race because still, you know, we managed to finish on the podium and bring home a 1-2, but yeah, it is not a lie that I was probably not very happy with a car and just not driving it the way I should have, and probably just not understanding this new generation of cars 200%. But I'm working on it. And I'm feeling like I also need to bring the car a bit more to my driving style, to my liking. And as soon as I feel a bit more comfortable the results and the pace will come. But still without feeling very confident and comfortable in the car we managed to bring home a P2, it would have been a P2 without Max’s retirement. But yeah, exciting times ahead. And I think some time to find. Yeah, we are getting there. Obviously it is an important contract in my career and I really wanted to make sure that everything was done and both Ferrari and I were happy with what we are signing. And yeah, we are very close to finalising it. It still needs the last details. But yeah, it looks good for the future. I agree with all of them. All three have said interesting things, which I actually agree with. I think the steps that have been done are going in the right direction, but are very small. It's not like in 100 days between the last race and here you can do much more to such a big circuit. So yeah, I think for the future, we just need to keep working together to maybe try and improve a bit the visibility of this circuit, because in 100 days… I like what has been done, but it's still on the limit. And we need to be making the circuit maybe a bit more… to have a bit more visibility. Because as Max said, the first sector is super fun to drive, it’s actually one of my favourite sections of the of the calendar, but we need to keep improving it. …and the Red Bull is very reliable too! In all honesty, not yet. Not a lot. I feel like if I compare myself to the end of last year, last year, I knew exactly what I need to do to the car in order to go faster at each track,  and what I need from from the suspension, the aero, and everything and I just… every time I went to new track at the end of the year, I knew exactly where to set it up and what would work for each track. With this car, very little. I mean, we've had a good winter testing and we've been consistent and we've been running a very similar car across the test and into the first race; we've developed it, we found our setup direction that seemed to work well in Bahrain–  but I have no idea of the setup is going to work in Jeddah, we're going to need to change it much or not. So, I think we need races, we need samples, we need time and on the personal side I just need to keep experimenting, keep trying diections and see ,what the car likes and what I like as a driver also. Oh, I think that's a combination of two things. I think Charles did a very good job in Bahrain and he found his groove with the car and he was very quick straight out of the box and very competitive, while maybe I was lacking a bit of feeling with a car, a bit of fiddling with the setup from testing maybe didn’t set up the car completely to my liking – but I think it's only one race, so I think it's very difficult to tell after one race if I have adapted or not. I think we need more races, we need more samples, as I said before, and maybe Jeddah is a different story – and that's why I think we need to give ourselves a bit of time and see what the tendency is,  and keep working on the setup front, put it a bit more to my liking, and as soon as it is there,  I know I can be quick with any car – like we showed last year. So, a bit of patience, still 22 races to go, so early days.",Saudi Arabia,friday,Ferrari
Mick Schumacher,"Yeah, it was obviously positive. The car feels a lot better than last year, it's a lot more competitive, obviously. We had a car in the top five, which is amazing for the team. So I’m really, really proud of that. And it just shows the potential of the car. So we have everything to play for. And I think we have a good season ahead of us. I think it wasn't as it was before, that's for sure. But the damage wasn't huge. So you know, obviously we were struggling a bit more than we hoped for after that but nonetheless it's racing. These things happen. You come close to each other and yeah, I came away with a nice 360 there, so that's alright. It's amazing to see the difference. You know, everybody's super-motivated, everybody's super-happy to be working and to have a car to look forward to and to see the progression, especially from a very poor last year, the poor performance last year in the car. I think that there's more to come. We have upgrades planned and stuff. That's something that I haven't had last year. Definitely, yeah, I'm sure they will keep on growing and keep on improving. Obviously, the first part of Drive to Survive, the first seasons, are quite interesting, and quite dramatic. And I think that brings a lot of people to the sport. But I guess as the show progresses it's important to become more accurate with some of the things and maybe don't mix up some of the comments or radio messages and stay true to how it actually was on track. I think that that would make more sense. And maybe chronological order could also make more sense. But again, I’m not the producer of the show, so it's just an opinion. I've seen the changes. And probably they are into the right direction. But I think they don't improve visibility and especially in the first section where visibility was an issue and where things did get quite close last year. I just wonder if there's maybe something else we have to do to get the safety up. And I guess, as Max said, also the visibility of the of this year's car is a bit different, a bit more difficult. So I guess we'll just have to try and find out on the fly how it goes. I don’t know, it’s hard to say. We had obviously only one race, one test and stuff in our test go just as planned, so I think we still have a lot of margin in terms of performance that I think we can exploit. Overall, I'm happy about the progression that we made in our car. I can't speak for the other two cars, so I guess that for sure one of them will say that their car’s the fastest but I guess we'll have to see over the year. Then it's good to know that we have the fastest car! Thank you very much!",Saudi Arabia,friday,Haas
Esteban Ocon,"Yeah, it was very close. It's a bit of a bittersweet memory, of course. But, you know, nevertheless, it was, it was a great race weekend here last year, finishing with 12 points, P4, qualified in the top 10. The car was very competitive and it's a track that I felt comfortable with straightaway, to get my foot in. So, yeah, I can't wait to feel those new cars, the high speed is usually a very strong point for these 2022 cars. And that's most of what you have here. So it's going to be very interesting. It's a good start. It was a very positive start to finish with both in the top 10. Of course, we want a little bit more performance to get closer to the cars in front, we're always looking for it. We have a way of working that we think is the right one, and it's going in the right direction. As always, both me and Fernando give very close feedback together. So that's good. And hopefully we can, you know, make that into some good developments in the future for the car. I think I will join Pierre on the comments. I think, of course, it's good to have an opening, you know, from the outside world of Formula 1. I think it has been a big benefit to have Netflix on board. Just to show how it works from the inside as well. But it's important, I think, to stick to how we are in reality. But yeah, for me it has been has been positive. I think it's very similar to last year, in my opinion. Of course it's very high speed here. It's very enjoyable to drive but I think still the way we were working with engineers from last year, just telling us if there is a slow car in front and all that, it’s still going to be valid this year. So yeah, we'll be as careful as we can. I think it will be very close. I think it's gonna be very close the whole year. I mean we've seen in quali, there's not much separating all of us, but I think at the moment the Haas looks the best package.",Saudi Arabia,friday,Alpine
Pierre Gasly,"It was frustrating not to see the chequered flag for the first race of the year. And until we had the issue I think we had a pretty clean race, a well executed strategy. Performance-wise it was great. We were fighting in the points and it was good to see. We expected a pretty tough race, because we saw Haas and Alfa Romeo were pretty strong, we knew it would quite close with Alpine and we still managed to end up in that P8 quite comfortably. So it was a shame, but still it's positive to see we have the performance to fight for some points. I guess it’s the same as everyone, we are still not in a position that we would like with the car, not as comfortable as what we would like and hope for. But it's our job to improve that and find some directions to find more performance. Similar comments. I think we had the cleanest testing of all the years I've done with that team. So we came into the first race quite confident in terms of reliability. But I must say, motorsport keeps you very humble all the time, because these things happen and it’s obviously painful on our side and there was no sign that this was going to happen. But obviously it should not happen. We lost quite a lot of points. And so it was clearly not the ideal start to the season. It was different problems with Max and Checo. But clearly things that that we need to sort out and can’t have in the future. No warning at all. It was just all on-off out of Turn 1, the whole car switched off. And that was it pretty much. I must say, I haven't seen the whole series, so I haven't seen like [more than] pretty much the first two episodes. You can clearly see that some scenes are kind of made up for the show. It's difficult to speak for the drivers, I'm not in their position. I don't know how they [Netflix) get on with other guys. I think on our side with Yuki, which is what I can compare, it was kind of normal. But obviously as a driver you don't want to be portrayed differently than the person you are in reality. I think that's the main thing that we ask for, you know. We're happy to play our part in the show but as long as it kind of reflects who we are personally. On my side, I never had any issue. I never felt like they were kind of changing or adding more drama than we had. I think we had enough drama over the last three years. Didn't need more. But I understand Stefano. I think it makes sense for us as well. Not much to add, I mean, at such high speed it's always going to be dangerous. And this year with a bit less visibility than last year. We all know it's a kind of dangerous track. And we all deal with it the best way we can, but I think it just requires definitely more attention from all of us. [you have to] pay more attention than any other track. But the changes have been made are a step in the right direction. Whether it's going to be enough or not, this will we'll find out this weekend. Well yeah, it was battery related but yeah, it was all safe. Everything worked. As expected, after that, obviously, when you stop on track, and there was a shortcut, and it was enough to start the fire at the back of the car, and basically the whole thing went into flames. But yeah, in terms of safety, there was no concern at all. And obviously, we have some fixes for this weekend. Can’t guarantee that it won't happen again, but surely we’ll try to do everything we can on our side, at least for now, to make sure we don't face such a situation again, because it wasn't nice. I mean, especially at that part of the track, where it happened. I didn't really realise initially, there was the fire coming out of the car. But it wasn't a nice feeling. At the end was all fine. Haas! I think so far, I mean we've done only two tracks. I really believe that it might be quite different from track to track, but so far from what we've seen, they look the most competitive but yeah, we'll make sure we give them a hard time as soon as possible.",Saudi Arabia,friday,AlphaTauri
Charles Leclerc,"It feels good. A lot more smiles around in the team and you can really feel the extra motivation that it gives to be back fighting for the top positions. I haven't been back in Maranello, but Mattia was there and was telling me that everyone is super motivated and super happy about the first race. So it's great to see that.  The last two years again, have been very, very difficult but I think we have prepared in the best way possible this new season. And it’s great to see the results on track so now we need to keep pushing more than ever to keep this position. But it feels nice to be back at least fighting for top positions. Not one in particular because obviously the cars are so different compared to the ones of last year so it's very difficult to make any comparison. But overall, I was very happy with the balance, which I think gives the drivers the confidence to push in qualifying, but also in the race and that was a very important aspect. But on the other hand, everything was working very well, I think we have a very solid car for now so it's nice. I think will be in the mix for this weekend for sure.  Whether we are favourite or not I don't know. I don't think so. I don't want to believe so. I think Red Bull are going to be extremely strong around here. So yeah, let's wait and see. I think we'll have the answer a bit later on today but yeah, I don't want us to feel like favourites at least. Yes, I did. Well, I think first because as a driver, I felt like I'm better than what I was in 2019 especially in the race pace. I think it was definitely one of my weakest points in 2019, I was always quite strong in qualifying, always managed to put the lap when it mattered, but then on tyre management especially I was quite weak so I put a lot of work into it. 2020 I got much better. 2021, again much better and actually last year, it was probably my strongest point was the tyre management and the race management so yeah, in Bahrain everything was much more under control. There was obviously moments where it was very tricky with Max pushing massively behind but overall, I had the control of my pace, of my tyres and everything felt good. Yes, same,  as I said yesterday I did a track walk before yesterday and there was slight changes especially in the last part of the of the track which might be a bit better for traffic but there was also this first part of the track that was quite tricky and there I don't think there was any change. But let's wait and see. Again maybe from the cars it looks better than what it is. Well, first of all, I can feel the difference from the car, the progress that's been made from last year to this year and this is nice, it's the result of all the work of the guys back in Maranello and it's also a reason why we are much more competitive this year so it's great to see that. On the other hand, I don't think we have any advantage. I think we are very similar to where Red Bull is at the moment which they seem to be very strong, power unit-wise and we need to keep pushing but yeah, it is definitely a big step from last year. The side pods. For a start, definitely the side pods. For us, we cannot see the yellow line at all when we are parking to start the race. But then for the actual visibility I don’t have any problems. How do you call it the arcs, yeah, whatever. This I don’t  have any problems and actually the visibility is fine for us. Again, I think we should wait and see. On a straight track it's normal to see red flags and I don't think that because we've seen two red flags it's more concerning than anywhere else. I think it's expected on a track that is so challenging and on a city track so yeah let's wait and see and maybe I'll go a bit more into details after the first few laps this afternoon. Well, yeah, I think that it is quite clear what we are allowed to do in the in a race, battling with each other now and yeah, we will be right at the limit of the rules as it's always been the case and that's the way I enjoy racing when it's hard but fair and when the limits are very clear, and I think it is, so whether there's Lewis at the back or not this… I will be racing the same way and yeah,  but hopefully we'll also be as competitive as we were in Bahrain for the rest of the season for these fights to happen.",Saudi Arabia,friday,Ferrari
Sergio Pérez,"It will be interesting to see, first of all, how different it is to… if the team order from  Bahrain changes are all in this circuit. You know, it is a very different one. So yeah, it will be interesting. I really hope we are in the mix. I definitely believe that things are going to be really close between a couple of teams,  so yeah, like Charles says, you know, we will have more idea later today. I don't think there's anyone in here that has… that is at one with the car yet. You know, I think we are all experimenting on how to drive best with these cars, how to set them in the best shape for your driving and how to take the best out of them. You know, we've gone into a very extreme regulation, very different to what we've been used to. So yeah, I think at the moment all we drivers and teams, we are getting there. But we are far from 100%. Well, I think in the short period of time, it was nice to see that they managed to do something. To be honest, I have to wait until I drive to make a comparison to last year and see what else we can do to make it even better. I think last year, it was something that was nice, you know, that nothing happened in the race but it was really on the limit of safety and yeah, I think I only can wait until I drive the car to see how much we have improved that. Yeah, we're pretty convinced that we managed to get on top of it. And it was the same issue with both cars. But there was always different… and at different points. But then, at the end of the day, it was the same cause and we believe that we have the problem sorted.",Saudi Arabia,friday,Red Bull
